,id,date,user,text,hashtags,mentions,phones,vehicles
0,1.235908129432322e+18,2020-03-06 12:40:34,DelhiPolice,RT @DcpNorthDelhi: A desperate robber Karan@ kanni  has been arrested by team of Special staff along with 1 Country made weapon and 2 round…,NaN,['@DcpNorthDelhi'],NaN,NaN
1,1.2359079666849464e+18,2020-03-06 12:39:55,DelhiPolice,"RT @DCPSouthDelhi: Various lectures,interactive sessions on Women Safety, Cyber Safety and also Self Defence Training programs conducted at…",NaN,['@DCPSouthDelhi'],NaN,NaN
2,1.2358995119075779e+18,2020-03-06 12:06:20,DelhiPolice,The team has been rewarded by Spl. CP/Operations for exemplary good work.,NaN,NaN,NaN,NaN
3,1.2358995099404698e+18,2020-03-06 12:06:19,DelhiPolice,"But displaying restraint as well as courage, professionalism and devotion to duty he apprehended the robber namely… https://t.co/YjaeVxSlTj",NaN,NaN,NaN,NaN
4,1.2358995079314104e+18,2020-03-06 12:06:19,DelhiPolice,"Finding being cornered, the robbers abandoned the TSR and ran in narrow lanes. However, during search operation Ct.… https://t.co/AIjdonfFeK",NaN,NaN,NaN,NaN
5,1.2358995059181404e+18,2020-03-06 12:06:18,DelhiPolice,"One of highway patrol MPV noticed the robbed TSR near Mannat Farm House, G.T Road. They signaled the occupants to s… https://t.co/7hUhs2niov",NaN,NaN,NaN,NaN
6,1.2358995031288832e+18,2020-03-06 12:06:18,DelhiPolice,"On intervening night of 5th/6th March at about 03.35 AM, a call was received by PCR MPVs regarding robbery of an Au… https://t.co/Eeps3RarXW",NaN,NaN,NaN,NaN
7,1.2358605583283692e+18,2020-03-06 09:31:32,DelhiPolice,RT @dcp_outernorth: Preemptive action taken against  bootleggers and illicit liquor suppliers to ensure a safe and crime free Holi @CPDelhi…,NaN,"['@dcp_outernorth', '@CPDelhi']",NaN,NaN
8,1.2358400544062013e+18,2020-03-06 08:10:04,DelhiPolice,RT @DCPDwarka: @CP Delhi rewarded Constable Manoj Yadav of Dwarka Distt. for his excellent performance in developing Beat intelligence netw…,NaN,"['@DCPDwarka', '@CP']",NaN,NaN
9,1.2358399898055025e+18,2020-03-06 08:09:49,DelhiPolice,"RT @DCPNewDelhi: Sashakti program aimed at promoting women safety and empowerment was held in Kendriya Vidyalaya,Gole Market.
@DelhiPolice…",NaN,"['@DCPNewDelhi', '@DelhiPolice']",NaN,NaN
10,1.2358193068410388e+18,2020-03-06 06:47:37,DelhiPolice,RT @PIBHomeAffairs: . @ABPNews claims of having access to a sensitive report on #DelhiViolence from @HMOIndia. There is no such report havi…,['#DelhiViolence'],"['@PIBHomeAffairs', '@ABPNews', '@HMOIndia']",NaN,NaN
11,1.2358188743369933e+18,2020-03-06 06:45:54,DelhiPolice,"RT @DCPWestDelhi: CP, Delhi motivated police personnel of Western Range to strive for making Delhi safer, particularly for women &amp; children…",NaN,['@DCPWestDelhi'],NaN,NaN
